Name,Unit,Average Price,Min Price,Usage Count,Notes
Crab - 500G,1 kg,,,1,Add realistic Sri Lankan market price
Tapioca - 350G,1 kg,,,1,Add realistic Sri Lankan market price
Jackfruit Seeds - 200G,1 kg,,,1,Add realistic Sri Lankan market price
Brown Rice - 100G,1 kg,,,1,Add realistic Sri Lankan market price
Thin Tamarind Juice - 600Ml,1 kg,,,1,Add realistic Sri Lankan market price
Water - 2000Ml,1 kg,,,1,Add realistic Sri Lankan market price
Tamarind Juice - 150Ml,1 kg,,,1,Add realistic Sri Lankan market price
Baby Squid/Calamari - 250G,1 kg,,,1,Add realistic Sri Lankan market price
Ordinary Vinegar - 3 Tablespoons,1 kg,,,1,Add realistic Sri Lankan market price
Water - As You Need I Used 130Ml,1 kg,,,1,Add realistic Sri Lankan market price
Sprats - 50G,1 kg,,,1,Add realistic Sri Lankan market price
Thin Tamarind Juice - 50Ml,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Ginger - 1 ½ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Fenugreek Seeds - 1 ½ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Water - 50Ml,1 kg,,,1,Add realistic Sri Lankan market price
Mustard Seeds - ¼ Teaspoon Optional,1 kg,,,1,Add realistic Sri Lankan market price
Cinnamon Sticks - Few About ½ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Squid/Cuttlefish - 400G,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Ginger - ½ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Cardamom - 5 Or 6,1 kg,,,1,Add realistic Sri Lankan market price
Cinnamon - 1 Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Cold Water - 250Ml,1 kg,,,1,Add realistic Sri Lankan market price
Patties Cutter,1 kg,,,1,Add realistic Sri Lankan market price
Shallots - 12 To 15,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds - ½ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Hot Water - 700Ml,1 kg,,,1,Add realistic Sri Lankan market price
Hot Water - 625Ml,1 kg,,,1,Add realistic Sri Lankan market price
Hot Water - 225Ml,1 kg,,,1,Add realistic Sri Lankan market price
Normal Water - 175Ml,1 kg,,,1,Add realistic Sri Lankan market price
Split Skinned Black Gram/Urad Dal - 150G,1 kg,,,1,Add realistic Sri Lankan market price
Basmati Rice - 50G,1 kg,,,1,Add realistic Sri Lankan market price
Vanilla Extract - 25Ml,1 kg,,,1,Add realistic Sri Lankan market price
Jaggery - 1000G,1 kg,,,1,Add realistic Sri Lankan market price
Sago - 100G,1 kg,,,1,Add realistic Sri Lankan market price
Hot Water - 2 Tablespoons,1 kg,,,1,Add realistic Sri Lankan market price
Hot Water - 1 Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Rava/Semolina - 400G,1 kg,,,1,Add realistic Sri Lankan market price
Raisins - 40G,1 kg,,,1,Add realistic Sri Lankan market price
Warm Water - 50Ml,1 kg,,,1,Add realistic Sri Lankan market price
Ghee - 4 Teaspoons,1 kg,,,1,Add realistic Sri Lankan market price
Vanilla - 3 Teaspoons,1 kg,,,1,Add realistic Sri Lankan market price
Cardamom - 2,1 kg,,,1,Add realistic Sri Lankan market price
Nutmeg - ½,1 kg,,,1,Add realistic Sri Lankan market price
Water - 1 Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Banana - 300G,1 kg,,,1,Add realistic Sri Lankan market price
Papaya - 500G,1 kg,,,1,Add realistic Sri Lankan market price
Mango - 500G,1 kg,,,1,Add realistic Sri Lankan market price
Rose Essence - ½ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Eggs - 2,1 kg,,,1,Add realistic Sri Lankan market price
Lukewarm Water - 125Ml,1 kg,,,1,Add realistic Sri Lankan market price
Vanilla Essence - 1 Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Water - 3 Teaspoons,1 kg,,,1,Add realistic Sri Lankan market price
Sesame Seeds - 100G,1 kg,,,1,Add realistic Sri Lankan market price
Water - 5 Tablespoons,1 kg,,,1,Add realistic Sri Lankan market price
Ripe Palmyra Fruit Juice - 1000Ml 3 Palmyra Fruits,1 kg,,,1,Add realistic Sri Lankan market price
4Tsploose Leaf Tea/ Teapreferably Ceylon Tea; 1⁄2Cupswater; 21⁄2Cupsfresh Milk; 3Tspsugaradjust To Your Preference,1 kg,,,1,Add realistic Sri Lankan market price
1Tbspblack Peppercorns; 1⁄2Tspcumin Seeds; 1⁄4Tspfennel Seeds; 2Pieces Of Cinnamon 2 Inch,1 kg,,,1,Add realistic Sri Lankan market price
2Medium Beetroots,1 kg,,,1,Add realistic Sri Lankan market price
2Godamba Roti Piecescheck Description,1 kg,,,1,Add realistic Sri Lankan market price
