Name,Unit,Average Price,Min Price,Usage Count,Notes
Pepperdews,1 kg,,,1,Add realistic Sri Lankan market price
75 Ml Galangal Power,1 kg,,,1,Add realistic Sri Lankan market price
Coriander Stalks,1 kg,,,1,Add realistic Sri Lankan market price
Dark Soy Sauce,1 kg,,,1,Add realistic Sri Lankan market price
2-3 Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
2-3 Teaspoon Peanuts,1 kg,,,1,Add realistic Sri Lankan market price
Asoefotida,1 kg,,,1,Add realistic Sri Lankan market price
Toor Dal / Chana Dal,1 kg,,,1,Add realistic Sri Lankan market price
Ginger Finely,1 kg,,,1,Add realistic Sri Lankan market price
Hot With A Cup Of Coffee Or Tea.,1 kg,,,1,Add realistic Sri Lankan market price
5-Layered Blueberry Cheesecake,1 kg,,,1,Add realistic Sri Lankan market price
Moong Dal Cherupayar Parippu,1 kg,,,1,Add realistic Sri Lankan market price
Turmeric Powdr,1 kg,,,1,Add realistic Sri Lankan market price
Jeerakam,1 kg,,,1,Add realistic Sri Lankan market price
Oilghee,1 kg,,,1,Add realistic Sri Lankan market price
Cherupayar Parippu,1 kg,,,1,Add realistic Sri Lankan market price
Plantains Ripe -Cut To Pieces,1 kg,,,1,Add realistic Sri Lankan market price
Molasses Extract - .,1 kg,,,1,Add realistic Sri Lankan market price
Kismis,1 kg,,,1,Add realistic Sri Lankan market price
Semolina,1 kg,,,1,Add realistic Sri Lankan market price
Savala,1 kg,,,1,Add realistic Sri Lankan market price
Passion Fruit,1 kg,,,1,Add realistic Sri Lankan market price
Tuvar Dal,1 kg,,,1,Add realistic Sri Lankan market price
Boil,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Mogar Dal,1 kg,,,1,Add realistic Sri Lankan market price
Mustards,1 kg,,,1,Add realistic Sri Lankan market price
Split Yellow Mung,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Moong Daal,1 kg,,,1,Add realistic Sri Lankan market price
2-3 Tbsp Water,1 kg,,,1,Add realistic Sri Lankan market price
Greenchile,1 kg,,,1,Add realistic Sri Lankan market price
Wash Dal Soak In Water,1 kg,,,1,Add realistic Sri Lankan market price
3-4 Tbsp Water,1 kg,,,1,Add realistic Sri Lankan market price
Water Plus More,1 kg,,,1,Add realistic Sri Lankan market price
Piece Of Ginger,1 kg,,,1,Add realistic Sri Lankan market price
Hing Asafoetida,1 kg,,,1,Add realistic Sri Lankan market price
As A Tea-Time Snack.,1 kg,,,1,Add realistic Sri Lankan market price
Asafoetida Or Hing,1 kg,,,1,Add realistic Sri Lankan market price
Split Moong Dal,1 kg,,,1,Add realistic Sri Lankan market price
Tbsp. Ghee,1 kg,,,1,Add realistic Sri Lankan market price
Chanadal,1 kg,,,1,Add realistic Sri Lankan market price
Chilles,1 kg,,,1,Add realistic Sri Lankan market price
Water+1/2_1Cup,1 kg,,,1,Add realistic Sri Lankan market price
Dry Fruits Cashewsraisins,1 kg,,,1,Add realistic Sri Lankan market price
Jeera,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Split Peas,1 kg,,,1,Add realistic Sri Lankan market price
Vada Parippu,1 kg,,,1,Add realistic Sri Lankan market price
It Hot With A Cup Of Black Tea Or Kattanchaya.,1 kg,,,1,Add realistic Sri Lankan market price
Bowl Tuvar Dal,1 kg,,,1,Add realistic Sri Lankan market price
Bowl Chana Dal,1 kg,,,1,Add realistic Sri Lankan market price
Hot With Tea Or Coffee.,1 kg,,,1,Add realistic Sri Lankan market price
Cup-Yellow Chikapeas Leantil,1 kg,,,1,Add realistic Sri Lankan market price
Inch- Ginger,1 kg,,,1,Add realistic Sri Lankan market price
-Pinch Asafoetida,1 kg,,,1,Add realistic Sri Lankan market price
Keto Fat Head Pizza Dough,1 kg,,,1,Add realistic Sri Lankan market price
Chili,1 kg,,,1,Add realistic Sri Lankan market price
1-2 Tsp Ginger,1 kg,,,1,Add realistic Sri Lankan market price
Asafoetida/Hing,1 kg,,,1,Add realistic Sri Lankan market price
Moong Daal,1 kg,,,1,Add realistic Sri Lankan market price
Spoon Chana Daal / Bengal Gramoptional,1 kg,,,1,Add realistic Sri Lankan market price
Thick Ribeye Steak On Bbq,1 kg,,,1,Add realistic Sri Lankan market price
1Min Choco Mug Brownie In Microwave Eggless,1 kg,,,1,Add realistic Sri Lankan market price
Split Moong Dal /Cherupayar Parippu,1 kg,,,1,Add realistic Sri Lankan market price
Enchilada Soup,1 kg,,,1,Add realistic Sri Lankan market price
Chanadal/Vada Parippu,1 kg,,,1,Add realistic Sri Lankan market price
Chanadal/ Vada Parippu,1 kg,,,1,Add realistic Sri Lankan market price
Sago Javvarasi,1 kg,,,1,Add realistic Sri Lankan market price
3-4 Tbsp Ghee,1 kg,,,1,Add realistic Sri Lankan market price
Cook Chanadal,1 kg,,,1,Add realistic Sri Lankan market price
A Pan Cook Sago Till They Become Transparent.,1 kg,,,1,Add realistic Sri Lankan market price
A:1 Tbsp Sambar Podi,1 kg,,,1,Add realistic Sri Lankan market price
B:1 Tbsp Ghee,1 kg,,,1,Add realistic Sri Lankan market price
Gooseberry Size,1 kg,,,1,Add realistic Sri Lankan market price
Of Spinach,1 kg,,,1,Add realistic Sri Lankan market price
Wait Till It Is Not Hot Anymore,1 kg,,,1,Add realistic Sri Lankan market price
Papad Around,1 kg,,,1,Add realistic Sri Lankan market price
Banana Stem,1 kg,,,1,Add realistic Sri Lankan market price
Palak/Spinach,1 kg,,,1,Add realistic Sri Lankan market price
Urad Dhal/ Ulundhu,1 kg,,,1,Add realistic Sri Lankan market price
Chanadhal/ Kadalai Paruppu,1 kg,,,1,Add realistic Sri Lankan market price
Cumin/Jeera Seeds,1 kg,,,1,Add realistic Sri Lankan market price
Panch Phoran,1 kg,,,1,Add realistic Sri Lankan market price
. Use Store,1 kg,,,1,Add realistic Sri Lankan market price
Mixed Curry Masala/Kuzhambu Podi,1 kg,,,1,Add realistic Sri Lankan market price
Bottle Goud,1 kg,,,1,Add realistic Sri Lankan market price
Crushed,1 kg,,,1,Add realistic Sri Lankan market price
Amchur Dry Mangopowder,1 kg,,,1,Add realistic Sri Lankan market price
Kasuri Methi,1 kg,,,1,Add realistic Sri Lankan market price
Jeeracumin Seeds,1 kg,,,1,Add realistic Sri Lankan market price
Saunffennel Seeds,1 kg,,,1,Add realistic Sri Lankan market price
Ginger Pieces,1 kg,,,1,Add realistic Sri Lankan market price
Toovar Daal,1 kg,,,1,Add realistic Sri Lankan market price
- 3 Cups Water Accordingly,1 kg,,,1,Add realistic Sri Lankan market price
My Curry Indian Style My Curry Indian Style I Was Really Into Eating Out At Indian Restaurants Then I Wanted,1 kg,,,1,Add realistic Sri Lankan market price
Fenugreek,1 kg,,,1,Add realistic Sri Lankan market price
Tumeric,1 kg,,,1,Add realistic Sri Lankan market price
Drumsticks Skin Removed 450 Grams,1 kg,,,1,Add realistic Sri Lankan market price
Water Warm,1 kg,,,1,Add realistic Sri Lankan market price
Water 💦,1 kg,,,1,Add realistic Sri Lankan market price
Black Peppercorns,1 kg,,,1,Add realistic Sri Lankan market price
Black Mustard Seeds,1 kg,,,1,Add realistic Sri Lankan market price
- 200 Ml Water,1 kg,,,1,Add realistic Sri Lankan market price
Corns,1 kg,,,1,Add realistic Sri Lankan market price
Seeds,1 kg,,,1,Add realistic Sri Lankan market price
. Garam Masala - 1 Tsp,1 kg,,,1,Add realistic Sri Lankan market price
. Cumin - 1 Tsp,1 kg,,,1,Add realistic Sri Lankan market price
. Clove - 3,1 kg,,,1,Add realistic Sri Lankan market price
Podscrushed,1 kg,,,1,Add realistic Sri Lankan market price
Another Pan,1 kg,,,1,Add realistic Sri Lankan market price
Oxo Cube,1 kg,,,1,Add realistic Sri Lankan market price
Chickpeas,1 kg,,,1,Add realistic Sri Lankan market price
Coley Fillet,1 kg,,,1,Add realistic Sri Lankan market price
Fishrohu,1 kg,,,1,Add realistic Sri Lankan market price
Vadavam,1 kg,,,1,Add realistic Sri Lankan market price
Lemon Size Tamarind,1 kg,,,1,Add realistic Sri Lankan market price
Mixed Curry Masala,1 kg,,,1,Add realistic Sri Lankan market price
Tamarind In 1 Cup Water,1 kg,,,1,Add realistic Sri Lankan market price
Hot With Plain Rice.,1 kg,,,1,Add realistic Sri Lankan market price
. Fenugreek - 1/8 Tsp,1 kg,,,1,Add realistic Sri Lankan market price
1. Soak Tamarind In Warm Water,1 kg,,,1,Add realistic Sri Lankan market price
2-3 Cloves,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Fenugreek Seeds,1 kg,,,1,Add realistic Sri Lankan market price
Shrimp,1 kg,,,1,Add realistic Sri Lankan market price
Chiles,1 kg,,,1,Add realistic Sri Lankan market price
Cube,1 kg,,,1,Add realistic Sri Lankan market price
It'S Ready To Enjoy!,1 kg,,,1,Add realistic Sri Lankan market price
1/2-1 Cup Mayo Depending How Creamy You Like,1 kg,,,1,Add realistic Sri Lankan market price
Sweet Relish,1 kg,,,1,Add realistic Sri Lankan market price
Paprika Or Creole Seasoning,1 kg,,,1,Add realistic Sri Lankan market price
Deveined Shrimp,1 kg,,,1,Add realistic Sri Lankan market price
Creole Seasoning,1 kg,,,1,Add realistic Sri Lankan market price
Corn Starch,1 kg,,,1,Add realistic Sri Lankan market price
1-2 Cups Corn Meal,1 kg,,,1,Add realistic Sri Lankan market price
Assemble. Place Yolk In Eggs Shrimp On Top Then Drizzle Your Hot Sauce Mixture.,1 kg,,,1,Add realistic Sri Lankan market price
Fried Shrimp No Tails,1 kg,,,1,Add realistic Sri Lankan market price
Hard Eggs,1 kg,,,1,Add realistic Sri Lankan market price
Mayonnaise Or Miracle Whip,1 kg,,,1,Add realistic Sri Lankan market price
Relish,1 kg,,,1,Add realistic Sri Lankan market price
5Th,1 kg,,,1,Add realistic Sri Lankan market price
Imatation Crab Meat,1 kg,,,1,Add realistic Sri Lankan market price
Hard- Eggs,1 kg,,,1,Add realistic Sri Lankan market price
Cream Cheese,1 kg,,,1,Add realistic Sri Lankan market price
Schezwan Sauce,1 kg,,,1,Add realistic Sri Lankan market price
Shrimps,1 kg,,,1,Add realistic Sri Lankan market price
Breasts,1 kg,,,1,Add realistic Sri Lankan market price
Prepared Mustard,1 kg,,,1,Add realistic Sri Lankan market price
Breadcrumbs,1 kg,,,1,Add realistic Sri Lankan market price
Spoons Miracle Whip,1 kg,,,1,Add realistic Sri Lankan market price
Spoon Yellow Mustard,1 kg,,,1,Add realistic Sri Lankan market price
1-2 Cups Shredded Cheddar Cheese,1 kg,,,1,Add realistic Sri Lankan market price
1-2 Cups Mayonnaise Or Miracle Whip,1 kg,,,1,Add realistic Sri Lankan market price
Finally Scoop 1-2 Tablespoons Of Mixture Into,1 kg,,,1,Add realistic Sri Lankan market price
Eggs In Half,1 kg,,,1,Add realistic Sri Lankan market price
Buffalo Wing Sauce Or Sriracha,1 kg,,,1,Add realistic Sri Lankan market price
Stock,1 kg,,,1,Add realistic Sri Lankan market price
Celery,1 kg,,,1,Add realistic Sri Lankan market price
Grapes,1 kg,,,1,Add realistic Sri Lankan market price
Shredded Cheese Of Your Choice,1 kg,,,1,Add realistic Sri Lankan market price
Smoked Paprika,1 kg,,,1,Add realistic Sri Lankan market price
Broccoli,1 kg,,,1,Add realistic Sri Lankan market price
Smoked Sausage,1 kg,,,1,Add realistic Sri Lankan market price
As Needed Water About 1/2 A Cup,1 kg,,,1,Add realistic Sri Lankan market price
Black Ripe Olives,1 kg,,,1,Add realistic Sri Lankan market price
1-1/2 Tablespoons Mayonnaise I Used Homemade,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Prepared Mustard,1 kg,,,1,Add realistic Sri Lankan market price
Olives,1 kg,,,1,Add realistic Sri Lankan market price
Drumsticks,1 kg,,,1,Add realistic Sri Lankan market price
Vickys Homemade Worcestershire Sauce From My Profile,1 kg,,,1,Add realistic Sri Lankan market price
Apricot Jam,1 kg,,,1,Add realistic Sri Lankan market price
Vickys Soy-Free Soy Sauce From My Profile,1 kg,,,1,Add realistic Sri Lankan market price
Plain Yogurt Or Greek Yogurt,1 kg,,,1,Add realistic Sri Lankan market price
Tabasco Sauce,1 kg,,,1,Add realistic Sri Lankan market price
At 50 Minutes To An Hour Until Golden Brown.,1 kg,,,1,Add realistic Sri Lankan market price
Spinach Packed,1 kg,,,1,Add realistic Sri Lankan market price
Thighs Skinless,1 kg,,,1,Add realistic Sri Lankan market price
Hot With Salad Or Sides Of Choice,1 kg,,,1,Add realistic Sri Lankan market price
Mayo,1 kg,,,1,Add realistic Sri Lankan market price
1/2 Tsp Tabasco,1 kg,,,1,Add realistic Sri Lankan market price
Liquid Smoke,1 kg,,,1,Add realistic Sri Lankan market price
Dry Basmati Rice,1 kg,,,1,Add realistic Sri Lankan market price
Brown Sauce Such As Hp,1 kg,,,1,Add realistic Sri Lankan market price
Tobasco,1 kg,,,1,Add realistic Sri Lankan market price
Breasts Poached Cooled Shredded,1 kg,,,1,Add realistic Sri Lankan market price
Tbsp. Honey Mustard,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Worcestershire Sauce,1 kg,,,1,Add realistic Sri Lankan market price
Chives,1 kg,,,1,Add realistic Sri Lankan market price
Button Mushrooms,1 kg,,,1,Add realistic Sri Lankan market price
Balsamic Vinegar Or Cider Not Malt,1 kg,,,1,Add realistic Sri Lankan market price
Smoked Chipotle Chilli’S,1 kg,,,1,Add realistic Sri Lankan market price
Double Cream,1 kg,,,1,Add realistic Sri Lankan market price
