Name,Unit,Average Price,Min Price,Usage Count,Notes
2-10 Ingredients.,1 kg,,,1,Add realistic Sri Lankan market price
It Hot With Rice Or Chappatis,1 kg,,,1,Add realistic Sri Lankan market price
Idly,1 kg,,,1,Add realistic Sri Lankan market price
Roti/ Chapati,1 kg,,,1,Add realistic Sri Lankan market price
Aloo Gobhi Sabji,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds/ Jeera,1 kg,,,1,Add realistic Sri Lankan market price
Neer Dosas Ragi Millet Dosa Ragi Dose,1 kg,,,1,Add realistic Sri Lankan market price
Wateruse Only If Needed If Mixture Gets Too Dry,1 kg,,,1,Add realistic Sri Lankan market price
Cabbage,1 kg,,,1,Add realistic Sri Lankan market price
Kothukari,1 kg,,,1,Add realistic Sri Lankan market price
Any Kuruma Veg Or Nonveg,1 kg,,,1,Add realistic Sri Lankan market price
Chappathis Into Fine Pieces.,1 kg,,,1,Add realistic Sri Lankan market price
Shredded,1 kg,,,1,Add realistic Sri Lankan market price
Chapati Cut Into Strips,1 kg,,,1,Add realistic Sri Lankan market price
Scrambled,1 kg,,,1,Add realistic Sri Lankan market price
Calpis,1 kg,,,1,Add realistic Sri Lankan market price
Palm Jaggery,1 kg,,,1,Add realistic Sri Lankan market price
Over Or Freshly Made Parathas,1 kg,,,1,Add realistic Sri Lankan market price
Curd,1 kg,,,1,Add realistic Sri Lankan market price
Gravy / Stock,1 kg,,,1,Add realistic Sri Lankan market price
Murungai Keerai Or Moringa,1 kg,,,1,Add realistic Sri Lankan market price
Cumin/Jeera,1 kg,,,1,Add realistic Sri Lankan market price
Oil/Ghee,1 kg,,,1,Add realistic Sri Lankan market price
Leftover Paranthaskerela/Any Normal,1 kg,,,1,Add realistic Sri Lankan market price
Made Kerala Parota,1 kg,,,1,Add realistic Sri Lankan market price
3-4 Cinnamon Sticks,1 kg,,,1,Add realistic Sri Lankan market price
Pure Ghee,1 kg,,,1,Add realistic Sri Lankan market price
3/4 Cups Water*,1 kg,,,1,Add realistic Sri Lankan market price
